date	Aggie.V4.rep1	Aggie.V4.rep2	Aggie.V4.rep3	Aggie.V4-AS.rep1	Aggie.V4-AS.rep2	Aggie.V4-AS.rep3	Barbee.rep1	Barbee.rep2	Barbee.rep3	Barbee-AS.rep1	Barbee-AS.rep2	Barbee-AS.rep3	Morrow.rep1	Morrow.rep2	Morrow.rep3	Holland.rep1	Holland.rep2	Holland.rep3	Aggie.V1.rep1	Aggie.V1.rep2	Aggie.V1.rep3	Aggie.V3.rep1	Aggie.V3.rep2	Aggie.V3.rep3	Aggie.VE.rep1	Aggie.VE.rep2	Aggie.VE.rep3	Haley.rep1	Haley.rep2	Haley.rep3	Cooper.rep1	Cooper.rep2	Cooper.rep3	Pride.rep1	Pride.rep2	Pride.rep3	Aggie.V6.rep1	Aggie.V6.rep2	Aggie.V6.rep3
8/17/22	7439103766	8598552249	25277000000	6718217868	7690540028	10701000000	34976000000	30075000000	18874000000	809440000000	764910000000	350070000000	37524064	129429956	95703655	3897719705	2993712415	2280115907	7279947541	7205601041	8368950051	18508000000	13244000000	9099554464	6434652908	6012017152	9424049680	42178184	85451821	88699047									
8/22/22	1699347487	2089624045	3414020580	20363000000	17712000000	27925000000	13334000000	60887000000	57153000000	16474000000	24523000000	5371936266	28023000000	18965000000	5856740	6062063620	6809266896	4619604890	24655000000	30893000000	34608000000	3027258887	1507127212	1441109266	1373643334	1382558591	1542242282	20089000000	13125000000	8134536415	62119000000	1024781958	59902000000	16380000000	8467465629	5598222070			
8/24/22	7493821229	8279805088	10127000000	4889762495	4835301099	6082022232	11737000000	8079829434	729220838	19001000000	12977000000	9411553267	4515618601	4593661197	7743828374	1481630822	955629937	1661849379	13129000000	13461000000	15255000000	4052493398	3525644147	2532334163	363673340	350573200	580943629	152550000000	172180000000	119950000000	62317000000	55926000000	70907000000	6611237406	6347729093	4792533845			
8/29/22	950405964	625058313	2255930160	140350000000	144150000000	159940000000	905579295	968445206	1280707485	5158364655	6533898639	4354662576	53315000000	26743000000	47012000000				65640000000	61037000000	28085000000	113470000000	152900000000	113670000000	30454000000	37294000000	42265000000	3063871908	1803369106	2467267767	37783000000	36479000000	36246000000	3097633228	3266775497	1504785197			
8/31/22	645452717	595674904	613404918	3366587479	5050106689	4433306437	7800661271	6870513061	6347002448	7242756476	6296362377	3238460564	4256828158	4723951000	3584065024	3925472575	4100319541	3095061633	153508327	15277000000	13911000000	4705658706	2981736421	2490471292	1863757525	1011242223	1854982995	51267000000	32579000000	39354000000	17051000000	12807000000	15821000000	10761000000	8173637281	6713505982			
9/7/22				540228953	678006081	421906570	3659481	5812641	4565903	182762308	149151393	3549200000000	6449877892	5384947237	7021748097	4268768585	2503456442	3285672325	2799671193	337977697	322992325	9741138		8400501846	1391206270	726480034	967123293	3336135230	3877950262	2830533963									
9/8/22	18453000000	23631000000	24254000000	38194000000	37102000000	25726000000	3359427437	2917705733	2245773692	611901608	526061069	169157997	21575000000	15474000000	20674000000	23793000000	28140000000	32578000000	14865000000	11323000000	13308000000	2310500361	2030736136	1207045400	756086127	851707609	758957067	83897000000	144750000000	100780000000	25916000000	20748000000	21560000000	90493000000	35463000000	65233000000			
9/12/22	11805569101	9930659856	11243024031	9821678453	5807657768	8539227852	2198559814	2547802291	2944984949	4257302604	4690813650	705318900	18925678699	12819128908	19585606352	3685983398	3348033434	3881402874	17709909848	16050291376	13156985470	12675445719	7858642154	3915944172	395187488	740870800	474433714	35309732686	34631636622	45211534775	161571000000	163872000000	149271000000	10582449618	7631280935	2182875763			
9/14/22	37976000000	20710000000	25278000000	17573000000	15733000000	15064000000	34132000000	28972000000	30724000000	256021261	611542548	118187327	60764000000	36240000000	72928000000	2513782413	2204069717	2482799372	9003338175	8325340128	10364000000	1796478841	1211376807	695680925	1793674570	1628566638	1521235495	5060962770	4914012029	4438432199	24197000000	20497000000	20446000000	3951598688	4673383543	3213383088			
9/19/22	232543000000	266181000000	569449000000	191244000000	185450000000	216800000000	2899840000000	2125270000000	2615070000000	439135000000	365847000000	265519000000	534030000000	224955000000	293755000000	2567857035	1922455683	3220778986	472811000000	313880000000	675758000000	2566220000000	2432400000000	1354260000000	37634297793	30131049343	16844807319	562356000000	508254000000	706588000000	863824000000	935911000000	1054060000000	2137920000000	2020990000000	1480350000000			
9/21/22	17553000000	18595000000	21714000000	30136000000	29930000000	34335000000	221420000000	219900000000	243730000000	179480000000	193440000000	81593000000	182750000000	118720000000	196160000000	138410000000	98061000000	116550000000	625570000000	470770000000	571920000000	847750000000	797520000000	499070000000	180940000000	151550000000	188440000000	118740000000	130080000000	136130000000	33029000000	32367000000	28726000000	158690000000	151900000000	78283000000			
9/26/22	223360120	271916632	315190800	481978618	489667065	539743825	16906000000	15558000000	10610000000	29658000000	26941000000	20693000000	1934098356	2226328491	2468773413	4347801639	3955215113	5093604136	3324569742	3422294314	3683580977	5948626844	4384249119	3722217930	5227057114	4215618551	4949189328	537219124	659375461	301793256	9767411794	10652000000	11159000000	4901754656	4811153412	3762472972			
9/28/22	2585728357	2015809902	1598049708	3036113630	3093629633	3178312955	6291142149	5802183519	6901056183	4905033152	5275740509	3102006796	3811316538	4080083828	4960517920	251762925	269165229	247780616	13685000000	11347000000	16842000000	3334294315	3550060025	2226307232	298561146	387660810	348199852	8297236139	9114403545	8713604375	10246000000	11076000000	522479123	1390234716	1445839031	261873963			
10/3/22	80525178516	236907000000	251820000000	131447000000	147658000000	168525000000	169412000000	151762000000	172884000000	280414000000	284856000000	47208348380	819112000000	721504000000	973998000000	7933973514	8604832237	4116126133	97795466800	193712000000	226636000000	84278851785	84682660952	26350004677	30202853623	22225795287	30004803266	4361049320	4373440313	4107347205	558113000000	617338000000	551155000000	511348000000	263204000000	170398000000			
10/5/22	28258000000	68962000000	110590000000	913240000000	470940000000	398650000000	61629000000	78623000000	76047000000	79478000000	58774000000	24162000000	14413000000	12487000000	16064000000	14857000000	12200000000		13203000000	11754000000	10640000000	3637638538	3189268328	1791109756	1243000000000	2794600000000	3653000000000	415750000000	372800000000	209670000000	277460000000	280260000000	277340000000	13204000000	13258000000	9343296310			
